Team,Name,Pos,Age,Proj PA,Proj IP,Service Time,Options or R5 Status,Projected Opening Day Status,NameASCII,PlayerId,MLBAMID
ARI,Geraldo Perdomo,SS,26.3,686,,4.015,2,Lineup Regular,,22799,672695
ARI,Corbin Carroll,RF,25.5,637,,3.038,3,Lineup Regular,,25878,682998
ARI,Ketel Marte,2B,32.3,637,,9.162,n/a,Lineup Regular,,13613,606466
ARI,Nolan Arenado,3B,34.8,595,,12.155,n/a,Lineup Regular,,9777,571448
ARI,Gabriel Moreno,C,26.0,456,,3.061,1,Lineup Regular,,22664,672515
ARI,Carlos Santana,1B,39.9,357,,15.115,n/a,Lineup Regular,,2396,467793
ARI,Jorge Barrosa,LF,25.0,182,,0.070,0,Lineup Regular,,23968,678489
ARI,Pavin Smith,DH,30.0,455,,4.015,0,Platoon vs R,,19892,656976
ARI,Alek Thomas,CF,25.8,420,,3.103,1,Platoon vs R,,23792,677950
ARI,Jordan Lawlar,INF/OF,23.6,329,,0.073,1,Platoon vs L,,29976,691783
ARI,James McCann,C,35.7,194,,10.126,n/a,Platoon vs L,,12859,543510
ARI,Zac Gallen,SP,30.5,,182,6.100,n/a,Starting Rotation,,19291,668678
ARI,Ryne Nelson,SP,28.0,,169,3.020,2,Starting Rotation,,26253,669194
ARI,Merrill Kelly,SP,37.3,,169,7.000,n/a,Starting Rotation,,11156,518876
ARI,Brandon Pfaadt,SP,27.3,,162,2.097,2,Starting Rotation,,27782,694297
ARI,Eduardo Rodriguez,SP,32.9,,124,10.070,n/a,Starting Rotation,,13164,593958
ARI,Michael Soroka,SP,28.5,,96,7.009,n/a,Starting Rotation,,18383,647336
ARI,Tim Tawa,INF/OF,26.9,161,,0.112,2,Bench,,29571,694374
ARI,Ildemaro Vargas,INF/OF,34.6,98,,5.129,n/a,Bench,,13324,545121
ARI,Kevin Ginkel,RP,31.9,,62,5.033,n/a,Closer,,19876,656464
ARI,Paul Sewald,RP,35.7,,58,7.072,n/a,Closer,,13892,623149
ARI,Ryan Thompson,RP,33.6,,64,5.095,n/a,Setup Man,,16647,657044
ARI,Kade Strowd,RP,28.4,,60,0.074,2,Setup Man,,26191,669704
ARI,Drey Jameson,RP,28.7,,59,2.012,1,Middle Reliever,,26260,686753
ARI,Brandyn Garcia,RP,25.7,,52,0.041,2,Middle Reliever,,33568,805299
ARI,Taylor Clarke,RP,32.8,,56,5.148,n/a,Long Reliever,,17611,664199
ARI,A.J. Puk,RP,30.8,,42,5.124,n/a,Projected Injured List,,19343,640462
ARI,Corbin Burnes,SP,31.3,,39,7.049,n/a,Projected Injured List,,19361,669203
ARI,Justin Martinez,RP,24.5,,22,2.024,1,60-Day IL,,24453,679885
ARI,Blake Walston,SP,24.6,,10,1.096,2,Projected Injured List,,26270,686796
ARI,Lourdes Gurriel Jr.,OF,32.5,469,,7.094,n/a,Projected Injured List,,19238,666971
ARI,Tyler Locklear,1B,25.2,154,,0.084,1,Projected Injured List,,31396,682988
ARI,Andrew Saalfrank,RP,28.5,,,0.118,1,60-Day IL,,26203,685314
ARI,Adrian Del Castillo,C,26.4,172,,0.128,2,Lineup/Bench Candidate,,29554,680728
ARI,Ryan Waldschmidt,OF,23.4,161,,,Dec'27,Lineup/Bench Candidate,,sa3025261,814439
ARI,Tommy Troy,INF/OF,24.1,35,,,Dec'26,Lineup/Bench Candidate,,sa3022561,694371
ARI,A.J. Vukovich,OF,24.6,28,,,R5,Lineup/Bench Candidate,,sa3014525,691021
ARI,Kristian Robinson,OF,25.2,14,,0.000,1,Lineup/Bench Candidate,,sa3006884,677565
ARI,Jose Fernandez,INF,22.4,,,0.000,3,Bench Candidate,,sa3015204,699912
ARI,Jacob Amaya,INF,27.4,,,0.118,0,Bench Candidate,,23296,676070
ARI,Druw Jones,OF,22.2,,,,Dec'26,Lineup Candidate,,sa3020676,702258
ARI,Ivan Melendez,1B,26.1,,,,R5,Lineup/Bench Candidate,,sa3019859,699471
ARI,Luken Baker,1B,28.9,,,0.164,0,Bench Candidate,,21497,663609
ARI,Aramis Garcia,C,33.1,,,3.060,0,Bench Candidate,,16925,605244
ARI,Matt O'Neill,C,28.5,,,,R5,Bench Candidate,,sa1170279,690841
ARI,Gavin Logan,C,26.1,,,,R5,Bench Candidate,,sa3020191,678099
ARI,Óscar Mercado,OF,31.2,,,3.031,0,Bench Candidate,,16375,640458
ARI,Ben McLaughlin,1B/3B,23.7,,,,Dec'27,Lineup/Bench Candidate,,sa3025256,808768
ARI,LuJames Groover,3B,23.8,,,,Dec'26,Bench Candidate,,sa3022887,694410
ARI,Cristofer Torin,INF,20.8,,,,Dec'26,Bench Candidate,,sa3018938,800198
ARI,Joe Ross,SP/RP,32.7,,42,7.171,n/a,Bullpen Candidate,,12972,605452
ARI,Andrew Hoffmann,RP,26.0,,40,0.033,2,Bullpen Candidate,,29633,694851
ARI,Jonathan Loáisiga,RP,31.3,,35,7.022,n/a,Bullpen Candidate,,19753,642528
ARI,Juan Morillo,RP,26.9,,31,0.111,2,Bullpen Candidate,,21924,666661
