dataset,stat,kind,season,level_id,pitch_tag,n_players,mu,var_obs,var_within,var_true,var_between,K,n_50,n_70,n_80
hitters,pull_FB_pct,rate,2022,1,,584,0.09029027345063628,0.002060413363946846,0.0008131602280531948,0.0012472531358936512,,64.85506791449689,64.85506791449689,151.32849180049274,259.42027165798754
hitters,pull_FB_pct,rate,2024,14,,264,0.08786922209078614,0.003047416170260448,0.0013568922434296056,0.0016905239268308423,,46.41028543156849,46.41028543156849,108.29066600699313,185.64114172627396
hitters,pull_FB_pct,rate,2023,1,,576,0.09260961254997874,0.002079835869354945,0.0008263135930698411,0.0012535222762851041,,66.03755793025005,66.03755793025005,154.08763517058344,264.1502317210002
hitters,pull_FB_pct,rate,2021,14,,248,0.07104048775896524,0.0018141543772302669,0.00111017025024377,0.0007039841269864968,,92.74321710977922,92.74321710977922,216.40083992281816,370.9728684391169
hitters,pull_FB_pct,rate,2015,1,,608,0.05970648683165936,0.0014649954141922558,0.0006581609821527468,0.000806834432039509,,68.58258105069457,68.58258105069457,160.02602245162066,274.3303242027783
hitters,pull_FB_pct,rate,2022,11,,313,0.08586304260175007,0.001953975379186459,0.001253479435778068,0.0007004959434083909,,111.05001435841281,111.05001435841281,259.1167001696299,444.20005743365124
hitters,pull_FB_pct,rate,2025,14,,249,0.092209053917969,0.00341158967332649,0.0013302163499132704,0.00208137332341322,,39.21697758490183,39.21697758490183,91.5062810314376,156.8679103396073
hitters,pull_FB_pct,rate,2018,1,,604,0.07046493539531117,0.0016943952306689083,0.0007869501370457833,0.000907445093623125,,71.18026604070077,71.18026604070077,166.08728742830178,284.72106416280315
hitters,pull_FB_pct,rate,2024,1,,564,0.09389153916756235,0.002083614483474475,0.0008208725034280705,0.0012627419800464044,,66.37395238667997,66.37395238667997,154.87255556891992,265.4958095467199
hitters,pull_FB_pct,rate,2023,14,,241,0.08902665457656768,0.0030476157657237327,0.00138836186570033,0.0016592539000234027,,47.87793806018977,47.87793806018977,111.71518880710947,191.5117522407591
hitters,pull_FB_pct,rate,2023,11,,707,0.0879525649207057,0.0020060709798207076,0.0009392511236759049,0.0010668198561448027,,74.19255550272273,74.19255550272273,173.11596283968638,296.7702220108909
hitters,pull_FB_pct,rate,2020,1,,459,0.09080940343915793,0.0022443904896957967,0.0012634996960479796,0.000980890793647817,,83.17150637038802,83.17150637038802,194.06684819757203,332.68602548155206
hitters,pull_FB_pct,rate,2019,1,,609,0.0730341899407085,0.0015664129546389056,0.0007791506433553246,0.000787262311283581,,84.99445962303486,84.99445962303486,198.3204057870813,339.9778384921394
hitters,pull_FB_pct,rate,2017,1,,602,0.06964238044799442,0.0015384419894950599,0.0007775331894946851,0.0007609088000003748,,84.15122875895155,84.15122875895155,196.35286710422028,336.60491503580624
hitters,pull_FB_pct,rate,2025,1,,576,0.09714501115911758,0.002156703512638001,0.0008943137606613466,0.0012623897519766542,,68.47763781247372,68.47763781247372,159.781154895772,273.91055124989487
hitters,pull_FB_pct,rate,2022,14,,257,0.0849808435280911,0.002395726514566005,0.0013160211581334821,0.001079705356432523,,71.01881448312034,71.01881448312034,165.71056712728077,284.07525793248135
hitters,pull_FB_pct,rate,2021,1,,607,0.08632821806335901,0.002121368814090737,0.0009198343611727711,0.001201534452917966,,64.64577206905055,64.64577206905055,150.84013482778462,258.5830882762022
hitters,pull_FB_pct,rate,2025,11,,715,0.09177095108425418,0.002460366023787561,0.0010173621888909725,0.0014430038348965887,,56.76079148626707,56.76079148626707,132.4418468012898,227.04316594506827
hitters,pull_FB_pct,rate,2016,1,,602,0.06727111076725172,0.0014740481866986684,0.000740178572500742,0.0007338696141979264,,84.49980433781688,84.49980433781688,197.16621012157273,337.99921735126753
hitters,pull_FB_pct,rate,2024,11,,681,0.09141119495865979,0.0020440719572772663,0.0009342373928535233,0.001109834564423743,,73.83564763367615,73.83564763367615,172.283177811911,295.3425905347046
hitters,pull_FB_pct,rate,2025,16,,15,0.1041969881969882,0.0063483897866254396,0.003959841375487587,0.002388548411137853,,38.07811766025699,38.07811766025699,88.84894120726632,152.31247064102797
hitters,chase,rate,2024,1,,622,0.3346630789506271,0.00442683795119046,0.0011369387349581084,0.0032898992162323517,,66.68101023863937,66.68101023863937,155.58902389015853,266.7240409545575
hitters,chase,rate,2021,1,,726,0.33062296283493886,0.0057251730166266975,0.0015657105197823902,0.004159462496844307,,52.20673511279153,52.20673511279153,121.81571526318022,208.8269404511661
hitters,chase,rate,2015,1,,715,0.33497267390255914,0.005049006284445636,0.0016433852495343249,0.0034056210349113114,,64.41126548066735,64.41126548066735,150.29295278822383,257.6450619226694
hitters,chase,rate,2023,16,,17,0.26579080628087187,0.005429450891006654,0.006332021482792778,1e-8,,19514604.35774359,19514604.35774359,45534076.83473504,78058417.43097436
hitters,chase,rate,2018,1,,706,0.33007120900962805,0.005809261176658605,0.0015246615310754463,0.004284599645583158,,50.609070691237065,50.609070691237065,118.08783161288648,202.4362827649483
hitters,chase,rate,2025,14,,327,0.2914728693903384,0.0051592736919419055,0.001925313319539381,0.0032339603724025247,,62.858678529903905,62.858678529903905,146.67024990310912,251.43471411961565
hitters,chase,rate,2021,14,,323,0.30713703074025334,0.006490842349080531,0.002021041104497766,0.004469801244582765,,46.609247804077306,46.609247804077306,108.75491154284705,186.43699121630925
hitters,chase,rate,2016,1,,722,0.3339310695453139,0.005434187131952286,0.0017066739952796002,0.0037275131366726858,,58.67010770515428,58.67010770515428,136.89691797869332,234.68043082061712
hitters,chase,rate,2024,14,,343,0.3014942454109319,0.005823192513424311,0.001961234414673447,0.0038619580987508642,,53.530748395002256,53.530748395002256,124.9050795883386,214.12299358000905
hitters,chase,rate,2017,1,,716,0.3335254703330199,0.006274240771989517,0.0016633903662273597,0.004610850405762157,,47.20937818636834,47.20937818636834,110.1552157681928,188.83751274547336
hitters,chase,rate,2021,16,,11,0.27515855356764446,0.0030753270707208806,0.0073527831800478645,1e-8,,19944631.39662062,19944631.39662062,46537473.25878145,79778525.58648248
hitters,chase,rate,2022,16,,29,0.3127578067734655,0.011152809723502142,0.00673336766512292,0.004419442058379222,,47.63518024140449,47.63518024140449,111.14875389661047,190.54072096561796
hitters,chase,rate,2023,14,,319,0.2989675909221231,0.005873958730053265,0.0019078329882446967,0.003966125741808568,,51.84400549660163,51.84400549660163,120.96934615873714,207.37602198640656
hitters,chase,rate,2023,1,,624,0.33065823612804013,0.004591197521687015,0.0009596210909949893,0.0036315764306920255,,59.94415778729968,59.94415778729968,139.86970150369925,239.77663114919875
hitters,chase,rate,2022,14,,340,0.3299900680158833,0.006817605834253642,0.0020900652890539764,0.0047275405451996655,,45.767789913776,45.767789913776,106.79150979881065,183.07115965510403
hitters,chase,rate,2022,1,,651,0.3366307151574253,0.004732619609137415,0.0011806158908248719,0.0035520037183125438,,61.868874719566506,61.868874719566506,144.36070767898852,247.47549887826605
hitters,chase,rate,2020,1,,538,0.3151877963459351,0.005586348339577652,0.0016295686340080154,0.003956779705569636,,53.55053488995149,53.55053488995149,124.95124807655347,214.202139559806
hitters,chase,rate,2019,1,,724,0.3293531460076715,0.005572624898925594,0.001481056476405483,0.004091568422520111,,52.98410301702226,52.98410301702226,123.62957370638526,211.93641206808906
hitters,chase,rate,2023,11,,835,0.3040724200789531,0.005282046916053214,0.0015108455513518904,0.003771201364701323,,55.11272455695066,55.11272455695066,128.59635729955156,220.45089822780267
hitters,chase,rate,2025,1,,633,0.33703458923280916,0.004585784589231453,0.001157035531976849,0.0034287490572546047,,64.16728729993169,64.16728729993169,149.72367036650726,256.66914919972675
hitters,chase,rate,2024,11,,804,0.30859958184768893,0.0051334573734192444,0.0014911471121337413,0.003642310261285503,,57.57982012103931,57.57982012103931,134.35291361575838,230.31928048415725
hitters,chase,rate,2025,16,,158,0.2972531676081977,0.012092749907049772,0.0064519186443024925,0.0056408312627472795,,36.032435863602124,36.032435863602124,84.07568368173828,144.12974345440853
hitters,chase,rate,2025,11,,827,0.30941025556187346,0.004545908294435564,0.0014491261737195735,0.0030967821207159903,,67.99921950776661,67.99921950776661,158.6648455181221,271.99687803106644
